Ministerio,soydetemporada
Acelgas,acelga
Aguacates,aguacate
Ajos,ajo
Albaricoques,albaricoque
Alcachofas,alcachofa
Bananas,banana
Berenjenas,berenjena
Calabacines,calabacin
Cebollas,cebolla
Cerezas comunes,cereza
Cerezas picotas,cereza-picota
Champiñones,champinon
Chirimoyas,chirimoya
Ciruelas claudias,ciruela
Ciruelas comunes,ciruela
Coles de Bruselas,col-de-bruselas
Coliflor,coliflor
Endibias,endibia
Escarola,escarola
Espinacas,espinaca
Espárragos blancos,esparrago-blanco
Espárragos verdes,esparrago
Fresón,fresa
Guisantes verdes,guisante
Higos,higo
Judías verdes,judia
Kiwis,kiwi
Lechugas,lechuga
Limones,limon
Lombardas,lombarda
Mandarinas Clementinas,clementina
Mandarinas comunes,mandarina
Manzanas Golden,golden
Manzanas comunes,manzana
Manzanas roja,manzana-roja
Melocotones comunes,melocoton
Melocotones de carne blanda,melocoton-blando
Melocotones de carne dura,melolcoton-duro
Melones comunes,melon
Naranjas tipo Navel,naranja
Nectarinas,nectarina
Paraguayas,paraguaya
Pepinos,pepino
Peras Ercolina,pera-ercolina
Peras Limonera,pera-limonera
Peras agua o blanquilla,pera-agua
Peras comunes,pera
Peras conferencia,pera-conferencia
Pimientos rojos,pimiento
Pimientos verdes,pimiento
Piñas,pina
Platanos de Canarias,platano
Pomelos,pomelo
Puerros,puerro
Repollo,col
Sandías,sandia
Tomate para ensalada,tomate
Tomates para freir,tomate-freir
Uvas Moscatel,uva-moscatel
Uvas comunes,uva
Zanahorias,zanahoria
