ID,TIPO DE PRODUCTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEP,OCT,NOV,DIC
1,ACELGA,x,x,x,x,x,x,x,x,x,x,x,x
2,AGUACATE,,,,,,,,,,,,
3,AJO,,,,,,,x,,,,,
4,ALBARICOQUE,,,,,,,,,,,,
5,ALCACHOFA,,,,,,x,x,x,,,,
6,APIO,,,,,,,,,,,,
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,,y,x,x,,,
9,BRÓCOLI,y,x,x,x,y,,,,x,x,x,y
10,CALABACIN,,,,,,,,,,,,
11,CALABAZA,,,,,,,y,x,x,y,,
12,CARDO,x,,,,,,,,,,x,x
13,CAQUÍ,,,,,,,,,,,,
14,CEBOLLA,,,,,,,,x,x,y,,
,CEBOLLETA,,,x,x,x,x,y,y,,,,
15,CEREZA,,,,,,x,,,,,,
16,CHAMPIÑÓN,,,,,,,,,,,,
17,COL CHINA,,,,,,,,,,,,
18,COL COMÚN,x,x,x,x,x,,,,,x,x,x
19,COL DE BRUSELAS,,,,,,,,,,,,
20,COLIFLOR,y,x,x,x,x,,,,x,x,x,y
21,ENDÍBIA,,,,,,,,,,,,
22,ESPÁRRAGO,,,,,,,,,,,,
23,ESPINACA,,,,,,,,,,,,
24,FRAMBUESA,,,,,,,,,,,,
25,FRESA,,,y,x,x,x,x,x,y,,,
26,GUISANTES,,,,,y,x,x,,,,,
27,HABAS,,,,x,x,x,,,,,,
28,HIGOS,,,,,,,,,,,,
29,JUDÍAS,,,,,y,x,x,x,x,x,y,
30,KIWI,,,,,,,,,,,,
31,LECHUGA,x,x,x,x,x,x,x,x,x,x,x,x
32,LIMÓN,,,,,,,,,,,,
33,LIMA,,,,,,,,,,,,
34,MAIZ DULCE,,,,,,,,,,,,
35,MANDARINA,,,,,,,,,,,,
36,MANZANA,,,,,,,,,y,x,,
37,MELOCOTÓN,,,,,,,,,,,,
38,MELÓN,,,,,,,,,,,,
39,MORA,,,,,,,,,,,,
40,NABO,,,,,,,,,,,,
41,NARANJA,,,,,,,,,,,,
42,NECTARINA,,,,,,,,,,,,
43,PAPAYA,,,,,,,,x,,,,
44,PATATA,,,,,,y,x,x,y,,,
45,PEPINO,,,,,,,,,,,,
46,PERA,,,,,,,,,,,,
47,PIMIENTO,,,,,,x,x,x,x,y,,
48,PIÑA,,,,,,,,,,,,
49,PLATANO,,,,,,,,,,,,
50,POMELO,,,,,,,,,,,,
51,PUERRO,x,,,,,,,,,x,x,x
52,RÁBANO,,,,,,,,,,,,
53,REMOLACHA,,,,,,,,,,,,
54,SANDÍA,,,,,,,,,,,,
55,TOMATE,,,,,,y,x,x,x,y,,
56,UVA,,,,,,,,,,,,
57,ZANAHORIA,x,x,x,x,x,x,x,x,x,x,x,x
