PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,SCORE
ACELGA,X,X,X,X,X,X,X,Y,X,X,X,X,7.33
AGUACATE,X,X,X,X,Y,,,,,Y,X,X,7.0
AJO,,,,,Y,X,Y,,,,,,3.73
ALBARICOQUE,,,,,Y,X,X,,,,,,2.25
ALCACHOFA,,,Y,X,X,Y,,,,Y,Y,Y,4.31
APIO,X,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,5.5
BATATA,,,,,,,,,,X,X,,1.5
BERENJENA,,,,,,Y,X,X,X,Y,,,3.58
BROCOLI,Y,,,,Y,Y,,,,X,X,Y,3.67
CALABACIN,,,,,Y,X,X,X,X,,,,3.64
CALABAZA,,,,,,,,Y,X,X,,,2.96
CAQUI,,,,,,,,,,Y,Y,X,2.0
CARDO,X,X,X,Y,,,,,,Y,X,X,4.17
CEBOLLA,,,Y,Y,Y,X,X,X,X,X,Y,,5.32
CEREZA,,,,,X,X,,,,,,,2.0
CHAMPINON,,,,,Y,,,,Y,Y,X,,2.0
COL,Y,Y,Y,Y,,Y,Y,Y,Y,X,X,X,5.8
COL DE BRUSELAS,Y,Y,,,,,,,,Y,Y,X,3.4
COLIFLOR,X,X,Y,Y,,,,,,Y,X,X,4.61
ENDIBIA,X,X,X,X,X,X,,,X,X,X,X,10.0
ESPARRAGO,,,Y,X,X,,,,,,,,2.33
ESPINACA,X,X,X,X,Y,Y,,Y,X,Y,X,X,5.95
FRAMBUESA,,,,,X,X,X,X,X,,,,4.38
FRESA,,,,Y,X,X,X,X,X,,,,3.92
GUISANTE,,,Y,X,X,Y,,,,,,,3.28
HABA,,,Y,Y,Y,Y,,,,,,,2.5
HIGO,,,,,,,Y,X,X,,,,2.58
JUDIA,,,,,X,X,X,X,X,,,,4.12
KIWI,X,X,X,Y,,,,,Y,X,X,X,5.67
LECHUGA,X,X,X,X,X,X,X,X,X,Y,Y,Y,7.45
LIMA,,,,,,,,Y,Y,Y,X,Y,4.25
LIMON,X,X,X,X,X,Y,,,,Y,X,X,7.67
MAIZ,,,,,,Y,Y,Y,X,Y,Y,,2.67
MANDARINA,Y,Y,Y,,,,,,,,X,Y,3.5
MANZANA,Y,,,,,,Y,Y,X,Y,X,Y,4.33
MELOCOTON,,,,,,,Y,X,X,,,,2.58
MELON,,,,,,Y,X,X,X,,,,3.0
MORA,,,,,,,X,Y,Y,,,,2.25
NABO,Y,Y,Y,Y,Y,,,,X,X,X,X,4.33
NARANJA,X,X,X,Y,Y,,,,,,X,Y,4.5
NECTARINA,,,,,Y,Y,X,X,X,,,,3.33
PATATA,,,,,Y,X,X,X,X,Y,,,4.23
PEPINO,,,,,,X,X,X,X,,,,3.54
PERA,,,,,,,X,X,X,X,Y,,4.2
PIMIENTO,,,,,,X,X,X,X,Y,,,3.96
pomelo,Y,Y,Y,Y,,,,,,,,X,3.5
puerro,X,X,Y,Y,,,,Y,X,X,X,X,5.61
rabano,,,,,Y,Y,Y,,,Y,Y,,2.5
remolacha,X,X,Y,Y,,,X,X,Y,X,X,X,6.21
sandia,,,,,,Y,Y,X,Y,,,,2.25
tomate,,,,,,X,X,X,X,X,,,4.2
uva,,,,,,,,,X,X,Y,,2.1
zanahoria,Y,Y,Y,Y,X,X,X,X,X,X,X,X,6.68
