PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,SCORE,COUNT
acelga,X,X,X,X,X,X,X,X,X,X,X,X,7.76,17
aguacate,X,X,X,X,Y,,,,,Y,X,X,7.0,1
ajo,,,,,Y,X,Y,,,,,,3.86,14
albaricoque,,,,,X,X,X,Y,,,,,2.5,6
alcachofa,,,Y,X,X,Y,,,,Y,Y,Y,4.35,10
apio,X,X,X,X,Y,Y,Y,Y,Y,Y,Y,X,6.5,8
batata,,,,,,,,,,X,X,,1.5,2
berenjena,,,,,,,X,X,X,Y,,,3.47,16
brocoli,X,Y,Y,,Y,Y,,,,X,X,X,4.68,14
calabacin,,,,,,X,X,X,Y,,,,3.39,18
calabaza,,,,,,,Y,Y,X,X,,,2.91,17
caqui,,,,,,,,,,Y,Y,X,2.0,4
cardo,X,Y,Y,,,,,,,,X,X,3.7,5
cebolla,,,Y,Y,Y,X,X,X,X,X,Y,Y,5.73,15
cereza,,,,,X,X,Y,,,,,,2.0,9
champinon,,,,,Y,,,,Y,Y,X,,4.5,4
col,X,X,X,X,,,,,Y,X,X,X,6.43,7
col-de-bruselas,Y,Y,,,,,,,,Y,Y,X,3.4,5
coliflor,X,X,X,Y,,,,,,Y,X,X,5.04,14
endibia,X,X,X,X,X,X,,,X,X,X,X,10.0,1
esparrago,,,X,X,X,,,,,,,,3.06,8
espinaca,X,X,X,X,Y,Y,,Y,X,X,X,X,6.54,12
frambuesa,,,,,Y,X,X,X,X,,,,4.5,5
fresa,,,,Y,X,X,X,X,Y,,,,3.94,8
guisante,,,,X,X,Y,,,,,,,2.92,12
haba,,,,X,X,Y,,,,,,,2.54,14
higo,,,,,,,X,X,X,,,,2.64,7
judia,,,,,X,X,X,X,X,Y,,,4.36,11
kiwi,X,X,X,,,,,,,X,X,Y,4.75,4
lechuga,X,X,X,X,X,X,X,X,X,X,X,X,7.83,15
lima,,,,,,,,Y,Y,Y,X,Y,4.25,2
limon,X,X,X,Y,Y,Y,,,,Y,X,X,6.5,4
maiz,,,,,,,,Y,X,Y,,,2.75,4
mandarina,Y,Y,Y,,,,,,,,X,Y,3.5,2
manzana,,,,,,,Y,Y,X,Y,Y,Y,3.69,8
melocoton,,,,,,Y,Y,X,X,,,,2.56,8
melon,,,,,,Y,X,X,X,,,,3.17,6
mora,,,,,,Y,X,X,X,Y,,,3.17,6
nabo,Y,Y,,,,,,,Y,Y,X,X,4.25,4
naranja,X,X,X,X,Y,,,,,,X,X,5.0,4
nectarina,,,,,Y,Y,X,X,Y,,,,2.8,5
patata,,,,,Y,X,X,X,Y,,,,4.41,17
pepino,,,,,,X,X,X,Y,,,,3.3,15
pera,,,,,,,X,X,X,Y,Y,,4.0,6
pimiento,,,,,,X,X,X,X,Y,,,3.97,17
pomelo,Y,Y,Y,Y,,,,,,,,X,3.5,2
puerro,X,X,Y,Y,,,,Y,X,X,X,X,5.61,14
rabano,,,Y,Y,X,X,X,Y,Y,X,X,,4.67,3
remolacha,X,X,Y,Y,,,X,X,Y,X,X,X,6.21,7
sandia,,,,,,X,X,X,Y,,,,2.57,7
tomate,,,,,,X,X,X,X,Y,,,4.08,20
uva,,,,,,,,Y,X,X,,,2.36,7
zanahoria,X,X,X,Y,X,X,X,X,X,X,X,X,7.5,13
