,Provincia,S-ha_15/12-15/4,P-t_15/12-15/4,S-ha_15/4-15/6,P-t_15/4-15/6,S-ha_15/6-15/9,P-t_15/6-15/9,S-ha_15/9-15/1,P-t_15/9-15/1,INE
0,A Coruña,31,520,598,11787,5160,112952,52,1026,15
1,Lugo,0,0,147,2608,3506,71978,619,11619,27
2,Ourense,0,0,86,2085,5562,211653,618,11964,32
3,Pontevedra,37,648,701,12919,2209,53054,22,369,36
6,Asturias,0,0,0,0,900,18000,0,0,33
8,Cantabria,0,0,0,0,30,750,112,2800,39
10,Araba/Álava,0,0,0,0,380,16720,853,34459,1
11,Gipuzkoa,0,0,25,513,140,3314,0,0,20
12,Bizkaia,0,0,80,1680,120,3132,10,243,48
15,Navarra,0,0,0,0,206,7063,253,5478,31
17,La Rioja,0,0,0,0,848,38775,406,20641,26
19,Huesca,0,0,55,1271,0,0,0,0,22
20,Teruel,0,0,0,0,5,110,234,4398,44
21,Zaragoza,0,0,21,451,217,8304,52,1547,50
24,Barcelona,0,0,125,2534,206,3654,52,1069,8
25,Girona,10,200,13,298,132,4085,95,1955,17
26,Lleida,0,0,0,0,362,7325,6,120,25
27,Tarragona,0,0,39,780,180,3600,0,0,43
30,Illes Balears,230,4715,1213,44799,0,0,280,8770,7
32,Ávila,0,0,8,240,245,10290,1038,54495,5
33,Burgos,0,0,0,0,688,28000,1578,59964,9
34,León,0,0,0,0,49,1568,1478,51730,24
35,Palencia,0,0,0,0,0,0,962,39507,34
36,Salamanca,0,0,0,0,2430,102060,1710,82080,37
37,Segovia,0,0,0,0,500,22500,1630,65200,40
38,Soria,0,0,0,0,0,0,457,17138,42
39,Valladolid,0,0,0,0,1498,67410,3595,168965,47
40,Zamora,0,0,0,0,451,22550,493,24650,49
43,Madrid,0,0,0,0,69,1751,31,713,28
45,Albacete,0,0,0,0,885,26108,200,5600,2
46,Ciudad Real,0,0,12,360,160,4800,301,9030,13
47,Cuenca,0,0,0,0,75,1072,90,1203,16
48,Guadalajara,0,0,0,0,22,500,0,0,19
49,Toledo,0,0,145,4060,44,1100,134,2881,45
52,Alacant/Alicante,0,0,215,5160,249,6972,286,6864,3
53,Castellón/Castelló,0,0,120,3840,194,4421,107,1433,12
54,Valencia/València,21,168,828,26496,101,4848,74,2775,46
57,Murcia,1138,34140,2554,87682,1077,34420,315,5135,30
59,Badajoz,0,0,0,0,579,24608,0,0,6
60,Cáceres,0,0,0,0,300,12000,0,0,10
63,Almería,45,945,150,3542,238,6209,77,1713,4
64,Cádiz,527,8432,450,11250,640,16320,305,7690,11
65,Córdoba,0,0,98,3430,382,15280,70,2450,14
66,Granada,117,5060,60,1176,645,16378,92,2253,18
67,Huelva,30,915,220,9300,150,4500,80,1760,21
68,Jaén,0,0,6,126,77,1807,37,694,23
69,Málaga,367,10093,439,11984,291,7828,248,4764,29
70,Sevilla,250,4000,3000,104990,600,17996,100,3000,41
71,Ceuta,0,0,0,0,0,0,0,0,0
72,Melilla,0,0,0,0,0,0,0,0,0
