,fecha,pais,kg,tipo
13,2014-01-01, Francia,61556147.67,import
21,2014-02-01, Francia,52886443.04,import
12,2014-03-01, Francia,62297258.03,import
19,2014-04-01, Francia,53513278.22,import
26,2014-05-01, Francia,29181662.05,import
33,2014-06-01, Francia,13294802.29,import
40,2014-07-01, Francia,5914037.45,import
36,2014-08-01, Francia,9572493.75,import
32,2014-09-01, Francia,17328109.62,import
27,2014-10-01, Francia,24835685.27,import
23,2014-11-01, Francia,39170807.17,import
8,2014-12-01, Francia,66503500.49,import
14,2015-01-01, Francia,61531910.65,import
10,2015-02-01, Francia,63984721.55,import
3,2015-03-01, Francia,73295159.12,import
11,2015-04-01, Francia,62481630.07,import
22,2015-05-01, Francia,52502775.29,import
29,2015-06-01, Francia,24259560.47,import
38,2015-07-01, Francia,6913600.67,import
39,2015-08-01, Francia,6024376.5,import
34,2015-09-01, Francia,12376266.94,import
30,2015-10-01, Francia,22549736.0,import
18,2015-11-01, Francia,54564279.57,import
9,2015-12-01, Francia,64467854.55,import
15,2016-01-01, Francia,61141273.63,import
7,2016-02-01, Francia,71680522.05,import
5,2016-03-01, Francia,72165315.33,import
17,2016-04-01, Francia,57935136.17,import
24,2016-05-01, Francia,38776906.43,import
31,2016-06-01, Francia,19034254.04,import
41,2016-07-01, Francia,4498361.6,import
37,2016-08-01, Francia,7803967.99,import
28,2016-09-01, Francia,24806799.23,import
25,2016-10-01, Francia,30433346.85,import
20,2016-11-01, Francia,52896893.08,import
1,2016-12-01, Francia,77198518.06,import
4,2017-01-01, Francia,72919851.79,import
2,2017-02-01, Francia,76965546.76,import
0,2017-03-01, Francia,82601146.93,import
6,2017-04-01, Francia,72122418.12,import
16,2017-05-01, Francia,58792171.03,import
35,2017-06-01, Francia,12264072.25,import
